Genome ID,Genome Name,Organism Name,NCBI Taxon ID,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Other Typing,Culture Collection,Type Strain,Completion Date,Publication,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,RefSeq Accessions,Sequencing Centers,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosomes,Plasmids,Contigs,Genome Length,GC Content,PATRIC CDS,RefSeq CDS,Isolation Site,Isolation Source,Isolation Comments,Collection Date,Isolation Country,Geographic Location,Latitude,Longitude,Altitude,Depth,Other Environmental,Host Name,Host Gender,Host Age,Host Health,Body Sample Site,Body Sample Subsite,Other Clinical,AntiMicrobial Resistance,AntiMicrobial Resistance Evidence,Gram Stain,Cell Shape,Motility,Sporulation,Temperature Range,Optimal Temperature,Salinity,Oxygen Requirement,Habitat,Disease,Comments,Additional Metadata,Coarse Consistency,Fine Consistency,Checkm Completeness,Checkm Contamination,Genome Quality Flags,Genome Quality,Date Inserted,Date Modified
"1049819.3","Leptospira interrogans serovar Copenhageni str. HAI0188","Leptospira interrogans serovar Copenhageni str. HAI0188",1049819,"WGS","HAI0188","serovar Copenhageni",,,"MLST.Leptospira_spp.17,MLST.Leptospira_spp_2.47,MLST.Leptospira_spp_3.2",," ",,"2012-01-24T00:00:00Z",,"PRJNA74149","SAMN02436381","GCA_000244595.3",,"AHOG00000000","-","J. Craig Venter Institute","WGS","454",,,,,151,4590835,35.1,5619,,,,,,"Peru","Peru: Hospital Apoyo, Iquitos",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"-",,98.8,91.1,100,22,,"Good","2014-12-08T22:11:57.520Z","2015-03-16T03:17:09.594Z"
"1049934.3","Leptospira interrogans str. MMD3731","Leptospira interrogans str. MMD3731",1049934,"WGS","MMD3731",,,,"MLST.Leptospira_spp.17,MLST.Leptospira_spp_2.47,MLST.Leptospira_spp_3.2",," ",,"2012-01-24T00:00:00Z",,"PRJNA74161","SAMN02436498","GCA_000244695.3",,"AHOL00000000","-","J. Craig Venter Institute","WGS","454",,,,,610,4402555,35.1,5463,,,,,,"Peru","Peru: Iquitos",,,,,,"Rat, Rattus norvegicus",,,,,,,,,,,,,,,,,,,"-",,97.8,87.8,95.9,24,,"Good","2014-12-08T22:11:58.444Z","2015-03-16T03:17:09.594Z"
"1049971.3","Leptospira licerasiae str. MMD4847","Leptospira licerasiae str. MMD4847",1049971,"WGS",,,,,,," ",,"2012-01-24T00:00:00Z",,"PRJNA74163","SAMN02436419","GCA_000244715.3",,"AHOM00000000","-","J. Craig Venter Institute","WGS","454",,,,,49,4216807,41.1,4251,,,,,,"Peru","Peru: Iquitos",,,,,,"Bat, Chiroptera",,,,,,,,,,,,,,,,,,,"-",,97.8,95.7,100,4.8,,"Good","2014-12-08T22:11:58.942Z","2015-03-16T03:17:09.594Z"
"1049972.3","Leptospira licerasiae serovar Varillal str. VAR 010","Leptospira licerasiae serovar Varillal str. VAR 010",1049972,"WGS",,"serovar Varillal",,,,," ",,"2012-01-24T00:00:00Z","23145189","PRJNA74167","SAMN02436421","GCA_000244755.3",,"AHOO00000000","-","J. Craig Venter Institute","WGS",,,,,,14,4211147,41.1,3999,3931,,,,,"Peru","Peru: Varillal village, Iquitos",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"-",,97.5,97,100,,,"Good","2014-12-08T22:11:58.933Z","2015-03-16T03:17:09.594Z"
"1049978.3","Leptospira santarosai str. CBC379","Leptospira santarosai str. CBC379",1049978,"WGS","CBC379",,,,"MLST.Leptospira_spp_2.164",," ",,"2012-01-24T00:00:00Z",,"PRJNA74145","SAMN02436503","GCA_000244555.3",,"AHOE00000000","-","J. Craig Venter Institute","WGS","454",,,,,168,4056378,41.9,4912,,,,,,"Peru","Peru: Iquitos",,,,,,"Pig, Sus scrofa",,,,,,,,,,,,,,,,,,,"-",,99,93.5,99,10.8,,"Good","2014-12-08T22:11:59.189Z","2015-03-16T03:17:09.594Z"
"1049979.3","Leptospira santarosai str. CBC523","Leptospira santarosai str. CBC523",1049979,"WGS","CBC523",,,,"MLST.Leptospira_spp_2.165",," ",,"2012-01-24T00:00:00Z",,"PRJNA74147","SAMN02436504","GCA_000244575.3",,"AHOF00000000","-","J. Craig Venter Institute","WGS","454",,,,,52,4042257,41.9,4837,,,,,,"Peru","Peru: Iquitos",,,,,,"Aurochs, Bos primigenius",,,,,,,,,,,,,,,,,,,"-",,99.5,94.7,100,6.6,,"Good","2014-12-08T22:11:59.198Z","2015-03-16T03:17:09.594Z"
"1049980.3","Leptospira santarosai str. HAI134","Leptospira santarosai str. HAI134",1049980,"WGS","HAI134",,,,,," ",,"2012-01-24T00:00:00Z",,"PRJNA74151","SAMN02436418","GCA_000244615.3",,"AHOH00000000","-","J. Craig Venter Institute","WGS","454",,,,,97,4070132,41.8,4676,,,,,,"Peru","Peru: Hospital Apoyo, Iquitos",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"-",,99.4,94.9,100,3.9,,"Good","2014-12-08T22:11:59.216Z","2015-03-16T03:17:09.594Z"
"1049981.3","Leptospira santarosai str. HAI1349","Leptospira santarosai str. HAI1349",1049981,"WGS","HAI1349",,,,"MLST.Leptospira_spp_2.168",," ",,"2013-03-15T00:00:00Z",,"PRJNA74153","SAMN01047922","GCA_000346915.1","SRR507775","ANNW00000000","-","J. Craig Venter Institute","WGS","Illumina GAIIx","67.5x","Celera Assembler v. 7.0",,,114,3851754,41.74,4155,3804,,,,,"Peru","Peru: Hospital Apoyo, Iquitos",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"-",,99.3,98.9,100,1,,"Good","2014-12-08T22:11:59.225Z","2015-03-16T03:17:09.594Z"
"1049982.3","Leptospira santarosai str. HAI1380","Leptospira santarosai str. HAI1380",1049982,"WGS","HAI1380",,,,"MLST.Leptospira_spp_2.169",," ",,"2012-01-24T00:00:00Z",,"PRJNA74157","SAMN02436497","GCA_000244655.3",,"AHOJ00000000","-","J. Craig Venter Institute","WGS","454",,,,,81,4024262,41.8,5067,,,,,,"Peru","Peru: Hospital Apoyo, Iquitos",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"-",,99.4,92.8,100,10.7,,"Good","2014-12-08T22:11:59.234Z","2015-03-16T03:17:09.594Z"
"1049983.3","Leptospira santarosai str. HAI821","Leptospira santarosai str. HAI821",1049983,"WGS","HAI821",,,,"MLST.Leptospira_spp_2.170",," ",,"2012-01-24T00:00:00Z",,"PRJNA74159","SAMN02436585","GCA_000244675.3",,"AHOK00000000","-","J. Craig Venter Institute","WGS","454",,,,,47,4053818,41.8,4858,,,,,,"Peru","Peru: Hospital Apoyo, Iquitos",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"-",,99.5,94.3,100,9.1,,"Good","2014-12-08T22:11:59.252Z","2015-03-16T03:17:09.594Z"
